training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/gamma_h_mean,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/gamma_h_mean,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-7.606448,7.606448,0.06373496,1.0,0.69191253,3.8784032,-4.2993817,0.0276053,0.11640523,0.9876331,0.7923892,0.035529193,0.07545903,-0.06341069,2.1233325,-7.71556,7.71556,0.091013,1.0,0.66599214,3.9004517,-4.334525,0.02762874,0.11673981,0.98765934,0.79193044,0.035548046,0.0037374597549438477,559.4531378746033,140000
-7.595784,7.595784,0.06106896,1.0,0.4591965,4.511182,-5.031006,0.009221036,0.072171725,0.9880575,0.0891359,0.010112395,0.063130535,-0.0958395,1.511568,-7.708184,7.708184,0.08916892,1.0,0.4735895,4.8407273,-4.56488,0.013721723,0.08100625,0.98843133,0.08819014,0.014603624,0.0037242650985717775,578.074469089508,145000
-7.580591,7.580591,0.057270784,1.0,0.47853866,4.3764906,-4.3487253,0.011495868,0.059690047,0.98713493,0.09701632,0.012466031,0.058739476,-0.06119542,1.4229397,-7.708105,7.708105,0.089149356,1.0,0.47079414,3.5390158,-4.7095914,0.007755666,0.06451438,0.9892989,0.09624566,0.008718123,0.0036853608131408692,596.5012788772583,150000
-7.627475,7.627475,0.06899166,1.0,0.50191903,5.118721,-4.3487253,0.0136765065,0.052768596,0.98659265,0.1244708,0.014921214,0.064080976,-0.06142089,1.4722006,-7.67614,7.67614,0.08115791,1.0,0.55999273,4.9658732,-4.7095914,0.014518997,0.06216222,0.98779464,0.12494379,0.015768435,0.00369066219329834,614.9545955657959,155000
-7.5916176,7.5916176,0.06002737,1.0,0.5714476,5.0384445,-4.626468,0.01594672,0.06469464,0.9876323,0.1703724,0.017650444,0.06535944,-0.064005,1.445751,-7.7239923,7.7239923,0.09312107,1.0,0.52797544,4.778281,-5.617426,0.016546346,0.075639844,0.98729223,0.17019251,0.018248271,0.003677809476852417,633.3436484336853,160000
-7.5724716,7.5724716,0.055240884,1.0,0.50272155,5.422193,-5.474015,0.017203623,0.05835802,0.98759806,0.19682959,0.01917192,0.058991205,-0.06948058,1.525305,-7.6665006,7.6665006,0.078748055,1.0,0.52191013,5.326017,-5.560345,0.013867278,0.059478942,0.98907983,0.19841838,0.01585146,0.003741227865219116,652.0497934818268,165000
-7.5628395,7.5628395,0.05283277,1.0,0.6417412,4.689279,-5.427231,0.0144330645,0.059518874,0.9883624,0.2106828,0.016539892,0.07270754,-0.068405986,1.4552922,-7.685092,7.685092,0.083395824,1.0,0.68044966,5.529181,-6.67688,0.017546795,0.0583968,0.98602176,0.20943335,0.01964113,0.0037070826530456544,670.5852119922638,170000
-7.590398,7.590398,0.059722472,1.0,0.48800135,5.422193,-5.8746605,0.014036571,0.052786425,0.98840344,0.19978824,0.016034452,0.045352086,-0.06298108,1.6031659,-7.7635393,7.7635393,0.10300776,1.0,0.5486677,4.805471,-4.8090696,0.013820292,0.046036318,0.9869981,0.19909264,0.01581122,0.0036917295932769774,689.0438656806946,175000
-7.575327,7.575327,0.055954654,1.0,0.503543,5.422193,-5.8746605,0.012719592,0.06193378,0.9874239,0.16134071,0.0143329995,0.06109715,-0.06328783,1.6431804,-7.6425138,7.6425138,0.07275138,1.0,0.537235,5.326017,-7.9456863,0.012835367,0.0635872,0.9895009,0.16214857,0.014456852,0.003702060842514038,707.5541758537292,180000
-7.569296,7.569296,0.05444688,1.0,0.5324578,5.022638,-5.8746605,0.013711167,0.06300048,0.98845756,0.1382352,0.015093518,0.057756864,-0.07142659,1.5244948,-7.636836,7.636836,0.07133193,1.0,0.47551727,4.6719966,-7.4615946,0.018074766,0.06882484,0.9871055,0.13870153,0.01946178,0.003744023323059082,726.2742981910706,185000
