training/bc/bc_log_prob,training/bc/bc_loss,training/bc/mse,training/bc/std,training/flow_occupancy/current_flow_matching_loss,training/flow_occupancy/flow_future_obs_max,training/flow_occupancy/flow_future_obs_min,training/flow_occupancy/flow_matching_loss,training/flow_occupancy/future_flow_matching_loss,training/flow_occupancy/gamma_h_mean,training/flow_occupancy/kl_loss,training/flow_occupancy/neg_elbo_loss,training/grad/max,training/grad/min,training/grad/norm,validation/bc/bc_log_prob,validation/bc/bc_loss,validation/bc/mse,validation/bc/std,validation/flow_occupancy/current_flow_matching_loss,validation/flow_occupancy/flow_future_obs_max,validation/flow_occupancy/flow_future_obs_min,validation/flow_occupancy/flow_matching_loss,validation/flow_occupancy/future_flow_matching_loss,validation/flow_occupancy/gamma_h_mean,validation/flow_occupancy/kl_loss,validation/flow_occupancy/neg_elbo_loss,time/epoch_time,time/total_time,step
-7.6198044,7.6198044,0.06707409,1.0,0.6840428,5.5347342,-5.8556457,0.025371859,0.09042913,0.9871192,0.7445091,0.03281695,0.06865304,-0.065528475,2.0311518,-7.6803117,7.6803117,0.08220089,1.0,0.57206887,5.326017,-5.9988246,0.044149883,0.14543864,0.9878714,0.7388926,0.05153881,0.003551833963394165,320.69470834732056,80000
-7.6590576,7.6590576,0.07688745,1.0,0.617368,5.5347342,-5.8556457,0.019242989,0.08490024,0.98822343,0.5439995,0.024682984,0.053713705,-0.060984846,1.9028898,-7.735619,7.735619,0.09602766,1.0,0.50757194,5.326017,-5.9988246,0.016357161,0.07110451,0.9875893,0.54393965,0.021796558,0.003574608135223389,338.5677545070648,85000
-7.5831375,7.5831375,0.05790735,1.0,0.53613263,5.5347342,-5.8556457,0.011197186,0.09386523,0.9869746,0.26811466,0.013878332,0.06307214,-0.041781433,1.3555176,-7.650367,7.650367,0.07471469,1.0,0.53106487,4.432083,-5.3620563,0.015590286,0.07439971,0.9879781,0.26865122,0.018276798,0.003589726114273071,356.51639008522034,90000
-7.591037,7.591037,0.0598822,1.0,0.58103985,4.3942013,-4.7402782,0.012336402,0.07272567,0.98663723,0.18085095,0.014144911,0.058621954,-0.07002407,1.4140625,-7.677002,7.677002,0.08137356,1.0,0.55845606,5.326017,-5.9988246,0.03946507,0.16218112,0.987532,0.18345349,0.041299604,0.003695021963119507,374.9915053844452,95000
-7.589871,7.589871,0.059590712,1.0,0.52674437,5.5347342,-5.8556457,0.010875238,0.52877975,0.9890809,0.14472216,0.012322459,0.043276787,-0.08350624,1.3293477,-7.6339455,7.6339455,0.07060927,1.0,0.5420543,5.326017,-5.9988246,0.014932906,9.82287,0.9870161,0.14488173,0.016381724,0.0036487659454345705,393.23534059524536,100000
-7.573039,7.573039,0.05538275,1.0,0.5629917,5.5347342,-5.8556457,0.011123514,0.2596272,0.9887711,0.1439659,0.012563173,0.06913784,-0.05954611,1.3807735,-7.6275396,7.6275396,0.06900779,1.0,0.5333785,4.425231,-4.7095914,0.015710045,0.07360044,0.98672915,0.14447773,0.017154822,0.0036537257671356202,411.5039746761322,105000
-7.6166606,7.6166606,0.0662881,1.0,0.57170486,4.227824,-4.3487253,0.010060696,0.062758684,0.9884954,0.19121516,0.011972847,0.08503464,-0.06115569,1.5084281,-7.751392,7.751392,0.099971,1.0,0.5809214,4.6139803,-4.386791,0.011961231,0.06752333,0.9865991,0.1910415,0.013871646,0.003694924306869507,429.97860288619995,110000
-7.592328,7.592328,0.060204994,1.0,0.52483135,5.213796,-5.0738816,0.01783549,0.083966814,0.9868895,0.12722605,0.019107752,0.05597881,-0.070682086,1.6064507,-7.7019186,7.7019186,0.08760271,1.0,0.51771486,4.8407273,-5.3620563,0.02255285,0.07278886,0.98746544,0.12685657,0.023821415,0.0036705111503601076,448.33116579055786,115000
-7.597117,7.597117,0.06140215,1.0,0.5932163,4.4285192,-4.613233,0.013766613,0.06967259,0.9884575,0.16256242,0.015392237,0.064198,-0.075938925,1.4490807,-7.727891,7.727891,0.09409565,1.0,0.53978586,5.326017,-8.458182,0.014550519,7.7228456,0.98731554,0.16117394,0.016162258,0.003656199359893799,466.612167596817,120000
-7.5953093,7.5953093,0.060950276,1.0,0.5354384,4.435086,-4.282185,0.01815045,0.06527038,0.9859072,0.12639692,0.01941442,0.08424214,-0.06236465,1.7553529,-7.715767,7.715767,0.09106466,1.0,0.49422282,4.512161,-4.7095914,0.01759678,0.07353086,0.98718864,0.1287277,0.018884057,0.0037176002025604248,485.2001738548279,125000
-7.589097,7.589097,0.059397254,1.0,0.53038037,3.957707,-4.507946,0.012749914,0.07919712,0.98639107,0.0925006,0.01367492,0.05475488,-0.062322907,1.5787961,-7.696287,7.696287,0.08619476,1.0,0.49496835,4.8407273,-4.7095914,0.021280166,0.08656865,0.9874295,0.091568366,0.02219585,0.0037345335960388185,503.87284755706787,130000
-7.583064,7.583064,0.057889,1.0,0.55684507,4.4366136,-4.3487253,0.014713006,0.09106761,0.98948306,0.08975473,0.015610553,0.060405634,-0.03888391,1.4045875,-7.7395735,7.7395735,0.09701647,1.0,0.5272225,4.409872,-4.361194,0.019824825,0.08339011,0.9887886,0.0892483,0.020717308,0.003636123561859131,522.0534710884094,135000
-7.6064463,7.6064463,0.06373453,1.0,0.5513968,4.166865,-4.8207984,0.019405777,0.06753646,0.9876331,0.141503,0.020820806,0.075564966,-0.0634931,1.6392977,-7.715784,7.715784,0.09106893,1.0,0.54402435,4.781101,-4.7095914,0.015626894,0.06313129,0.98765934,0.14214796,0.017048374,0.0035837173461914064,539.9720628261566,140000
-7.5957394,7.5957394,0.061057735,1.0,0.5833653,4.511182,-4.53329,0.009550269,0.057493098,0.9880575,0.17693746,0.011319643,0.06300788,-0.09594578,1.4822881,-7.708109,7.708109,0.089150056,1.0,0.62103933,4.6253786,-4.5811343,0.013654769,0.07550939,0.98843133,0.17577197,0.015412489,0.0035029253005981445,557.4866950511932,145000
-7.5806,7.5806,0.057272978,1.0,0.60300803,3.9858737,-4.321136,0.012838138,0.055357702,0.98713493,0.79014766,0.020739615,0.059287485,-0.061222713,1.5723962,-7.7078857,7.7078857,0.08909449,1.0,0.6086614,3.2850132,-4.5763392,0.0137474155,0.06731947,0.9892989,0.7864624,0.02161204,0.0036466658115386964,575.7200291156769,150000
-7.627638,7.627638,0.06903237,1.0,0.5650375,4.3734536,-4.3487253,0.012236079,0.046456978,0.98659265,0.3115285,0.015351364,0.06435021,-0.061592545,1.4760036,-7.676192,7.676192,0.08117088,1.0,0.5851512,4.0354443,-4.5687094,0.014718395,0.06383637,0.98779464,0.31550905,0.017873485,0.0034841228485107422,593.1406486034393,155000
-7.591636,7.591636,0.06003201,1.0,0.5464048,4.128468,-4.3487253,0.014780167,0.06504686,0.9876323,0.34926862,0.018272853,0.065757975,-0.063947015,1.4664097,-7.7240343,7.7240343,0.093131505,1.0,0.5174053,3.5893593,-4.058776,0.017027356,0.07673519,0.98729223,0.3497429,0.020524785,0.003492805767059326,610.6046826839447,160000
-7.5724626,7.5724626,0.055238567,1.0,0.5056777,4.187293,-4.282185,0.019170418,0.06945434,0.98759806,0.4334566,0.023504984,0.058656428,-0.06898795,1.6353822,-7.666564,7.666564,0.07876399,1.0,0.4860233,4.265112,-4.5116167,0.012548357,0.07210435,0.98907983,0.43140987,0.016862456,0.0035890915870666505,628.5501461029053,165000
-7.562725,7.562725,0.052804153,1.0,0.50762737,4.511182,-4.3487253,0.014151452,0.06270716,0.9883624,0.16754788,0.015826931,0.07253492,-0.06850197,1.5729961,-7.6851587,7.6851587,0.083412625,1.0,0.54175925,3.6260839,-4.4366393,0.016219014,0.05859249,0.98602176,0.16635568,0.01788257,0.003629763221740723,646.6989676952362,170000
-7.5901937,7.5901937,0.059671387,1.0,0.488603,4.511182,-4.3487253,0.013157452,0.06101963,0.98840344,0.15004723,0.014657925,0.045114454,-0.06275931,1.486776,-7.76346,7.76346,0.10298798,1.0,0.5372838,4.5644584,-4.555107,0.013059208,0.059364222,0.9869981,0.1501598,0.014560807,0.0036038054466247557,664.7180004119873,175000
